"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"AJ Griffin","ATL",19,72,34,38,1401.4,639,248,533,101,259,42,47,37,116,153,73,42,42,12,87,1052,0,0
"Aaron Holiday","ATL",26,63,32,31,845.3,247,92,220,36,88,27,32,25,49,74,89,36,37,12,79,580,0,0
"Bogdan Bogdanovic","ATL",30,54,27,27,1508.6,756,273,611,146,360,64,77,23,142,165,150,65,43,18,86,1297,0,0
"Bruno Fernando","ATL",24,39,13,26,405.1,153,59,112,0,4,35,50,54,83,137,31,25,6,34,74,459,1,0
"Clint Capela","ATL",29,65,35,30,1730.1,779,350,536,0,1,79,131,258,459,717,58,54,45,79,139,2044,35,0
"De'Andre Hunter","ATL",25,67,35,32,2125.6,1029,379,822,100,286,171,207,46,238,284,94,82,35,17,199,1585,1,0
"Dejounte Murray","ATL",26,74,38,36,2693.4,1515,612,1319,133,387,158,190,53,336,389,448,160,112,19,106,2887,8,1
"Donovan Williams","ATL",21,2,1,1,4.3,4,2,5,0,2,0,0,0,2,2,0,0,0,0,0,6,0,0
"Garrison Mathews","ATL",26,54,16,38,686.3,257,73,201,63,180,48,53,11,62,73,26,19,24,5,62,452,0,0
"Jalen Johnson","ATL",21,70,35,35,1041.6,395,158,322,30,104,49,78,51,231,282,83,41,38,34,113,1033,1,0
"Jarrett Culver","ATL",24,10,5,5,136.9,44,17,43,1,12,9,13,10,28,38,6,7,6,2,14,116,0,0
"John Collins","ATL",25,71,37,34,2129.6,931,359,707,70,240,143,178,77,385,462,85,79,42,73,220,1879,11,0
"Onyeka Okongwu","ATL",22,80,41,39,1848.6,791,317,497,4,13,153,196,217,359,576,81,81,56,107,251,2012,12,0
"Saddiq Bey","ATL",24,77,24,53,2128.7,1062,353,836,151,418,205,238,98,264,362,118,71,70,13,123,1851,4,0
"Trae Young","ATL",24,73,38,35,2540.7,1914,597,1390,154,460,566,639,56,161,217,741,300,80,9,104,3253,40,0
"Trent Forrest","ATL",25,23,9,14,277,52,25,60,0,2,2,3,5,32,37,38,15,7,2,17,165,0,0
"Tyrese Martin","ATL",24,16,10,6,65.5,21,9,23,1,7,2,2,5,7,12,2,2,1,0,2,39,0,0
"Vit Krejci","ATL",23,29,15,14,165.4,36,15,37,5,21,1,2,6,20,26,17,5,5,1,17,106,0,0
"Alondes Williams","BKN",24,1,1,0,5.3,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,-1,0,0
"Ben Simmons","BKN",26,42,24,18,1105,291,133,235,0,2,25,57,40,223,263,256,97,54,24,139,1128,4,1
"Cam Thomas","BKN",21,57,30,27,947.6,604,201,456,51,133,151,174,8,87,95,78,63,20,7,55,853,0,0
"Cameron Johnson","BKN",27,42,25,17,1199.8,650,223,474,103,255,101,120,34,151,185,78,37,50,14,83,1144,1,0
"David Duke Jr.","BKN",23,23,10,13,228,85,36,78,1,12,12,17,11,18,29,21,18,10,1,31,166,0,0
"Day'Ron Sharpe","BKN",21,48,22,26,552.5,227,93,171,6,11,35,55,99,101,200,37,42,15,32,89,622,2,0
"Dorian Finney-Smith","BKN",30,66,31,35,2008.8,551,196,501,114,338,45,59,114,202,316,100,62,55,36,144,1291,2,0
"Dru Smith","BKN",25,15,7,8,158.4,44,18,45,5,19,3,3,2,22,24,22,3,10,4,23,145,0,0
"Edmond Sumner","BKN",27,53,33,20,736.2,378,124,269,31,87,99,108,13,66,79,68,50,31,10,83,648,0,0
"Joe Harris","BKN",31,74,40,34,1527.2,562,201,440,142,333,18,28,23,141,164,101,41,34,13,140,1010,0,0
"Mikal Bridges","BKN",26,83,42,41,2963.2,1671,593,1267,169,442,316,353,79,285,364,273,127,91,61,159,2846,2,0
